GEOID,tri
060014507012,55.937
060133750003,30.984
060133760001,22.517
060133760003,30.984
060133760004,21.424
060133770001,25.06
060290003001,20.881
060290055082,16.523
060290065001,24.678
060290025001,4.583
060290011023,47.021
060290052014,460.378
060290049011,8.66
060290056001,47.149
060290065003,23.108
060290031211,4.472
060290028173,2.449
060290043021,2.449
060290008002,51.215
060290033043,13.229
060290063011,11.533
060290002004,23.065
060133770005,0.0
060290002005,19.0
060290002006,22.825
060290002007,24.249
060290003002,23.065
060290003003,23.065
060770034102,2.0
060290003004,24.249
060290004001,22.159
060290004002,21.424
060290004003,24.249
060710078003,83.054
060710079012,138.921
060470019012,6.928
060470019013,4.899
060470019014,7.071
060290005041,13.964
060290005042,16.492
060470003045,5.568
060470004023,12.61
060470004024,15.937
060470005041,5.385
060470005042,5.916
060750615003,29.933
060470005052,6.0
060710087043,80.722
060330013002,80.66
060710087044,65.78
060710087045,69.051
060710087051,62.618
060330009001,202.998
060330010005,109.895
060470019021,9.95
060470020003,11.832
060470020004,13.038
060710100043,57.533
060710100045,61.587
060470002034,5.477
060470009022,3.873
060470021002,13.304
060855031222,11.619
060470010021,2.449
060470010022,2.828
060470009013,3.317
060411022022,45.277
060411022025,134.011
060855017001,7.483
060855115004,69.361
060855120453,73.491
060470005053,4.583
060470006011,5.099
060470006012,4.899
060470006014,4.583
060470006021,4.243
060470006022,4.243
060730209031,480.086
060730213021,241.41
060710070001,38.471
060470010023,4.0
060470010024,2.0
060470010032,2.236
060470010033,4.123
060470010041,4.243
060470010042,4.583
060470010043,2.236
060470010051,5.0
060470011011,2.236
060470011012,1.732
060470021003,12.207
060470022011,4.0
060470022012,4.472
060470022013,4.0
060470022014,7.141
060470022023,3.464
060470006032,4.0
060133373004,133.555
060133430032,100.782
060133451083,76.505
060133452021,125.491
060133462014,272.883
060133480002,147.787
060133521023,140.446
060133530011,128.359
060133553063,109.266
060133660011,57.749
060470011013,1.732
060470026002,3.0
060330006005,187.163
060470012004,0.0
060470012002,1.0
060470012003,1.732
060470013011,4.583
060470013012,4.583
060470013013,3.0
060470013022,5.0
060470013023,4.899
060470014012,2.236
060470014024,2.0
060470022024,4.472
060470023011,8.66
060710087062,91.126
060650449072,12.767
060650449073,14.318
060710100092,53.385
060710100111,29.394
060710100112,28.39
060710100113,31.417
060710100121,35.171
060710100122,66.257
060855045041,6.708
060330010006,11.576
060710070002,38.471
060710070003,49.376
060710071092,117.83
060710071093,143.265
060133860003,113.715
060133010001,0.0
060133710002,41.964
060133851001,210.578
061110003033,129.561
061110004001,429.292
061110007022,88.125
060710088001,124.844
060710088002,69.166
060710088003,61.701
060710088004,139.259
061110008004,119.202
061110029052,11.358
061110042003,0.0
061110045061,0.0
060952526063,13.892
060952523143,41.425
060952518034,10.149
060952534042,2.0
060952521041,117.456
060952527072,6.083
060952521021,0.0
060952521043,87.08
060952531013,48.754
060952529033,90.978
060952533001,2.828
060952524014,14.422
060952535004,47.76
060952509002,21.237
060133010002,0.0
060710065004,23.431
060133020071,15.524
060133031034,8.124
060133031033,5.0
060710079032,48.497
060710079033,36.304
060650449301,20.952
060650451241,353.062
060650465003,65.81
060650418032,174.991
060710071102,30.984
060710095001,94.826
060710115002,738.942
060710114033,101.956
060710114032,138.978
060710089011,115.456
060710111011,432.88
060710111012,521.967
060710110011,210.801
060710099051,31.385
060719401001,65.612
060710104132,364.187
060710104242,94.673
060710121011,32.741
060710121032,69.584
060710104233,135.351
060710104163,46.712
060730083012,95.708
060710080011,37.776
060710080012,34.655
060710080013,34.655
060710080021,26.115
060710080022,26.115
060710080024,27.331
060710097071,13.964
060710097091,20.174
060710097092,15.843
060710097093,14.071
060659414003,35.833
060730083013,131.377
060730083033,214.29
060730083061,18.028
060310001001,2.0
060374329022,12.042
060372653031,89.398
060372128002,16.031
060371927001,30.676
060710082001,46.433
060710095002,72.533
060710095003,70.484
060710087052,137.317
060710027031,63.214
060710010012,46.141
060952503001,60.655
060952524013,14.422
060952527053,10.0
060952532014,56.507
060290046044,11.136
060290047012,5.657
060290048001,6.403
060290048002,7.0
060290048003,7.483
060710097101,8.832
060710097103,8.485
060710097111,36.524
060710097112,51.74
060710097113,12.288
060372430004,3.464
060190021004,7.81
060710119001,51.682
060710097161,208.255
060710097083,318.7
060710097082,118.651
060710108022,487.797
060830012084,112.406
060375002011,155.734
060372772001,2.236
060375339012,6.403
060372352011,12.728
060372393101,9.0
060375033013,57.663
060375358042,4.583
060372380003,8.426
060375326061,15.62
060372348002,12.728
060377032005,125.841
060375007003,21.0
060710025021,28.844
060710078001,23.601
060710045041,254.553
060710087033,380.178
060290048004,8.426
060372293003,11.874
060372319001,10.44
060377028022,21.378
060372973001,139.119
060372975002,144.215
060375301014,52.048
060372225003,10.77
060375316032,45.486
060374072003,16.523
060710083015,191.909
060710071041,261.167
060710071051,122.748
060374335042,10.817
060375313023,17.776
060372095202,41.134
060372671002,35.412
060372123061,24.678
060374071013,14.248
060372161001,22.405
060374822023,52.335
060290041012,5.292
060290041022,4.123
060374822021,39.243
060372119101,31.241
060372113202,31.241
060374025021,35.355
060372172004,24.413
060374066023,22.65
060372140001,43.301
060371924104,32.388
060374055001,48.26
060374811032,30.249
060710082002,94.451
060710082003,89.733
060710083011,80.79
060710083012,80.61
060710083021,110.413
060710095004,84.982
060290042001,2.236
060374019023,62.089
060371953003,95.221
060371907002,55.48
060374004042,439.962
060374038022,42.708
060374004043,226.974
060374809022,22.316
060374005011,489.815
